order,col1,col2
2,IOPC 01110010,
3,Plants grown undercover,
7,0103 Other Agriculture,254
60,IOPC 01120010,
61,Plants grown outdoors,
65,0103 Other Agriculture,563
126,IOPC 01120020,
127,Orchard and vineyard growing,
131,0103 Other Agriculture,820
147,IOPC 01130010,
148,Turf,
152,0103 Other Agriculture,621
205,IOPC 01140010,
206,Flowers (incl cut flowers) and flower seeds grown undercover,
210,0103 Other Agriculture,350
274,IOPC 01150010,
275,Flowers (incl cut flowers) and flower seeds grown outdoors,
279,0103 Other Agriculture,326
338,IOPC 01210010,
339,"Mushrooms, fresh or chilled",
343,0103 Other Agriculture,230
367,IOPC 01210020,
368,Mushroom spawn,
372,0103 Other Agriculture,6
389,IOPC 01220010,
390,Lettuces grown undercover,
394,0103 Other Agriculture,26
411,IOPC 01220020,
412,Tomatoes grown undercover,
416,0103 Other Agriculture,72
437,IOPC 01220030,
438,"Other vegetables, fresh or chilled, grown undercover",
442,0103 Other Agriculture,75
465,IOPC 01230010,
466,Lettuces grown outdoors,
470,0103 Other Agriculture,282
496,IOPC 01230020,
497,Tomatoes grown outdoors,
501,0103 Other Agriculture,297
525,IOPC 01230030,
526,"Potatoes, sweet potatoes and edible roots and tubers nec grown outdoors",
530,0103 Other Agriculture,818
559,IOPC 01230040,
560,"Beans, french and runner; peas, green or blue grown outdoors",
564,0103 Other Agriculture,174
592,IOPC 01230050,
593,"Cabbages, brussels sprouts, cauliflowers and headed broccoli grown outdoors",
597,0103 Other Agriculture,321
622,IOPC 01230060,
623,Carrots grown outdoors,
627,0103 Other Agriculture,165
652,IOPC 01230070,
653,Onions grown outdoors,
657,0103 Other Agriculture,169
684,IOPC 01230080,
685,Vegetable seeds,
689,0103 Other Agriculture,340
711,IOPC 01230090,
712,"Other vegetables (incl. melons), fresh or chilled grown outdoors",
716,0103 Other Agriculture,"1,431"
745,IOPC 01310010,
746,Grapes - table,
750,0103 Other Agriculture,310
769,IOPC 01310020,
770,Grapes - wine,
774,0103 Other Agriculture,915
792,IOPC 01310030,
793,Grapes sun-dried or for drying,
797,0103 Other Agriculture,34
819,IOPC 01320010,
820,Kiwi fruit,
824,0103 Other Agriculture,n.p.
847,IOPC 01330010,
848,Strawberries,
852,0103 Other Agriculture,196
876,IOPC 01330020,
877,Berries nec - fresh and sun-dried,
881,0103 Other Agriculture,130
903,IOPC 01340010,
904,Apples - fresh and sun-dried,
908,0103 Other Agriculture,379
934,IOPC 01340020,
935,Pears and quinces - fresh and sun-dried,
939,0103 Other Agriculture,113
961,IOPC 01350010,
962,Stone fruit - fresh and sun-dried,
966,0103 Other Agriculture,789
991,IOPC 01360010,
992,Citrus fruit - fresh and sun-dried,
996,0103 Other Agriculture,399
1020,IOPC 01370010,
1021,Olives - fresh and sun-dried,
1025,0103 Other Agriculture,n.p.
1044,IOPC 01390010,
1045,Bananas - fresh and sun-dried,
1049,0103 Other Agriculture,453
1071,IOPC 01390020,
1072,Orchard fruit nec - fresh and sun-dried,
1076,0103 Other Agriculture,385
1100,IOPC 01390030,
1101,Almonds and macadamias,
1105,0103 Other Agriculture,214
1127,IOPC 01390040,
1128,Edible nuts (excluding Peanuts) nec; Other fruit nec - fresh and sun-dried,
1132,0103 Other Agriculture,n.p.
1157,IOPC 01400010,
1158,Sheep and lambs,
1162,"0101 Sheep, Grains, Beef and Dairy Cattle","2,766"
1184,IOPC 01400020,
1185,Wool (shorn and dead),
1189,"0101 Sheep, Grains, Beef and Dairy Cattle","1,923"
1215,IOPC 01400030,
1216,Sheep and lamb products nec,
1220,"0101 Sheep, Grains, Beef and Dairy Cattle",16
1239,IOPC 01400040,
1240,Sheep and beef cattle agistment services,
1244,"0101 Sheep, Grains, Beef and Dairy Cattle",93
1263,IOPC 01400050,
1264,Beef cattle and calves,
1268,"0101 Sheep, Grains, Beef and Dairy Cattle","8,850"
1291,IOPC 01400060,
1292,Beef cattle and calves products (excluding Milk) nec,
1296,"0101 Sheep, Grains, Beef and Dairy Cattle",15
1315,IOPC 01400070,
1316,"Rice, in the husk",
1320,"0101 Sheep, Grains, Beef and Dairy Cattle",117
1338,IOPC 01400080,
1339,"Wheat (incl spelt) and meslin, unmilled",
1343,"0101 Sheep, Grains, Beef and Dairy Cattle","5,776"
1373,IOPC 01400090,
1374,"Barley, unmilled",
1378,"0101 Sheep, Grains, Beef and Dairy Cattle","1,500"
1401,IOPC 01400100,
1402,"Oats, unmilled",
1406,"0101 Sheep, Grains, Beef and Dairy Cattle",203
1428,IOPC 01400110,
1429,"Grain, sorghum",
1433,"0101 Sheep, Grains, Beef and Dairy Cattle",324
1457,IOPC 01400120,
1458,Lupins (white or yellow) for grain,
1462,"0101 Sheep, Grains, Beef and Dairy Cattle",193
1488,IOPC 01400130,
1489,Oilseeds,
1493,"0101 Sheep, Grains, Beef and Dairy Cattle",911
1516,IOPC 01400140,
1517,Legumes for grain nec,
1521,"0101 Sheep, Grains, Beef and Dairy Cattle",510
1544,IOPC 01400150,
1545,Cereal grains nec,
1549,"0101 Sheep, Grains, Beef and Dairy Cattle",303
1572,IOPC 01510010,
1573,Sugar cane (for planting or crushing),
1577,0103 Other Agriculture,"1,366"
1596,IOPC 01520010,
1597,Cotton (excl ginned),
1601,0103 Other Agriculture,805
1618,IOPC 01590010,
1619,Forage sorghum,
1623,0103 Other Agriculture,277
1642,IOPC 01590020,
1643,Forage products nec,
1647,0103 Other Agriculture,11
1664,IOPC 01590030,
1665,Tobacco,
1670,0103 Other Agriculture,n.p.
1686,IOPC 01590040,
1687,Beverage and spice crops,
1691,0103 Other Agriculture,17
1717,IOPC 01590050,
1718,"Grass, lucerne and clover seed",
1722,0103 Other Agriculture,427
1748,IOPC 01590060,
1749,"Hay, cereal grasses and fodder",
1753,0103 Other Agriculture,"2,147"
1782,IOPC 01590090,
1783,Peanuts,
1787,0103 Other Agriculture,41
1806,IOPC 01590110,
1807,Natural rubber,
1829,IOPC 01590120,
1830,Crops nec,
1834,0103 Other Agriculture,264
1865,IOPC 01600010,
1866,"Whole milk, chilled but otherwise untreated",
1870,"0101 Sheep, Grains, Beef and Dairy Cattle","3,348"
1889,IOPC 01600020,
1890,Dairy cattle,
1894,"0101 Sheep, Grains, Beef and Dairy Cattle",895
1914,IOPC 01710010,
1915,"Poultry, for slaughtering",
1919,0102 Poultry and Other Livestock,"1,883"
1940,IOPC 01720010,
1941,Eggs,
1945,0102 Poultry and Other Livestock,605
1971,IOPC 01720020,
1972,Egg laying hens,
1976,0102 Poultry and Other Livestock,47
1996,IOPC 01800010,
1997,Deer,
2001,0102 Poultry and Other Livestock,n.p.
2021,IOPC 01910010,
2022,Thoroughbred horses,
2026,0102 Poultry and Other Livestock,581
2044,IOPC 01910020,
2045,Horse stud and breeding services; horses nec,
2049,0102 Poultry and Other Livestock,n.p.
2071,IOPC 01910030,
2072,Horse Agistment Services,
2076,0102 Poultry and Other Livestock,n.p.
2094,IOPC 01920010,
2095,Pigs,
2099,0102 Poultry and Other Livestock,877
2120,IOPC 01930010,
2121,Unblended honey and beeswax,
2125,0102 Poultry and Other Livestock,73
2145,IOPC 01990010,
2146,Pet breeding and live animals nec,
2150,0102 Poultry and Other Livestock,247
2178,IOPC 01990020,
2179,Livestock products nec,
2183,0102 Poultry and Other Livestock,395
2216,IOPC 02000010,
2217,"Farmed oysters (including Pearl), paua and molluscs nec",
2221,0201 Aquaculture,356
2246,IOPC 02000020,
2247,Farmed seaweed,
2251,0201 Aquaculture,n.p.
2270,IOPC 02000030,
2271,Farmed fish and fish hatchery products,
2275,0201 Aquaculture,n.p.
2302,IOPC 02000040,
2303,Farmed prawns and crustaceans nec,
2307,0201 Aquaculture,78
2330,IOPC 02031980,
2331,General government consumption of fixed capital (0201-0203),
2351,IOPC 03010010,
2352,Natural gums and resins (incl oleoresins),
2356,0301 Forestry and Logging,212
2383,IOPC 03010020,
2384,Softwoods (conifers) growing,
2388,0301 Forestry and Logging,460
2405,IOPC 03010030,
2406,"Hardwoods, brushwoods, scrubwoods - growing",
2410,0301 Forestry and Logging,601
2427,IOPC 03010040,
2428,Forest products nec,
2432,0301 Forestry and Logging,120
2461,IOPC 03020010,
2462,Softwoods (conifers) logs,
2466,0301 Forestry and Logging,770
2490,IOPC 03020020,
2491,"Hardwoods, brushwoods, scrubwoods - logs; hewn timber and timber nec (incl firewood)",
2495,0301 Forestry and Logging,668
2527,IOPC 03020030,
2528,Logging services,
2532,0301 Forestry and Logging,207
2549,IOPC 03021980,
2550,General government consumption of fixed capital (0301-0302),
2554,0301 Forestry and Logging,67
2570,IOPC 04110010,
2571,Rock lobster and crab,
2575,"0401 Fishing, hunting and trapping",447
2594,IOPC 04120010,
2595,Prawns,
2599,"0401 Fishing, hunting and trapping",331
2621,IOPC 04130010,
2622,Fish and squid (line fishing),
2626,"0401 Fishing, hunting and trapping",333
2649,IOPC 04140010,
2650,Fish (trawling or netting),
2654,"0401 Fishing, hunting and trapping",311
2674,IOPC 04190010,
2675,"Oysters and other aquatic invertebrates nec, live, fresh or chilled",
2679,"0401 Fishing, hunting and trapping",188
